Mol,HFE,Temp,kh_w_40,kh_w_80,kh_w_120,kh_w_160,kh_w_200,kh_w_240,kh_w_280,kh_w_320,kh_w_360,kh_w_400,kh_w_440,kh_w_480,kh_w_520,kh_w_560,kh_w_600,kh_w_640,kh_w_680,kh_w_720,kh_w_760,kh_w_800,kh_w_840,kh_w_880,kh_w_920,kh_w_960,kh_w_1000,kh_w_1040,kh_w_1080,kh_w_1120,kh_w_1160,kh_w_1200,kh_w_1240,kh_w_1280,kh_w_1320,kh_w_1360,kh_w_1400,kh_w_1440,kh_w_1480,kh_w_1520,kh_w_1560,kh_w_1600,kh_w_1640,kh_w_1680,kh_w_1720,kh_w_1760,kh_w_1800,kh_w_1840,kh_w_1880,kh_w_1920,kh_w_1960,kh_w_2000,kh_w_2040,kh_w_2080,kh_w_2120,kh_w_2160,kh_w_2200,kh_w_2240,kh_w_2280,kh_w_2320,kh_w_2360,kh_w_2400,kh_w_2440,kh_w_2480,kh_w_2520,kh_w_2560,kh_w_2600,kh_w_2640,kh_w_2680,kh_w_2720,kh_w_2760,kh_w_2800,kh_w_2840,kh_w_2880,kh_w_2920,kh_w_2960,kh_w_3000,kh_w_3040,kh_w_3080,kh_w_3120,kh_w_3160,kh_w_3200,kh_w_3240,kh_w_3280,kh_w_3320,kh_w_3360,kh_w_3400,kh_w_3440,kh_w_3480,kh_w_3520,kh_w_3560,kh_w_3600,kh_w_3640,kh_w_3680,kh_w_3720,kh_w_3760,kh_w_3800,kh_w_3840,kh_w_3880,kh_w_3920,kh_w_3960,kh_w_4000,kh_w_4040,kh_w_4080,kh_w_4120,kh_w_4160,kh_w_4200,kh_w_4240,kh_w_4280,kh_w_4320,kh_w_4360,kh_w_4400,kh_w_4440,kh_w_4480,kh_w_4520,kh_w_4560,kh_w_4600,kh_w_4640,kh_w_4680,kh_w_4720,kh_w_4760,kh_w_4800,kh_w_4840,kh_w_4880,kh_w_4920,kh_w_4960,kh_w_5000,kh_w_5040,kh_w_5080,kh_w_5120,kh_w_5160,kh_w_5200,kh_w_5240,kh_w_5280,kh_w_5320,kh_w_5360,kh_w_5400,kh_w_5440,kh_w_5480,kh_w_5520,kh_w_5560,kh_w_5600,kh_w_5640,kh_w_5680,kh_w_5720,kh_w_5760,kh_w_5800,kh_w_5840,kh_w_5880,kh_w_5920,kh_w_5960,kh_w_6000,kh_w_6040,kh_w_6080,kh_w_6120,kh_w_6160,kh_w_6200,kh_w_6240,kh_w_6280,kh_w_6320,kh_w_6360,kh_w_6400
0124dim,-4.72,298,0.042441774,0.172199426,0.39002729,0.696535329,1.091464224,1.573086001,2.138407083,2.785342182,3.512906261,4.318580755,5.198540695,6.14914793,7.165780174,8.243726251,9.381047898,10.57544189,11.81923042,13.10110462,14.4085217,15.72917489,17.05297462,18.37374164,19.68869341,20.99755605,22.30434517,23.6193422,24.95857767,26.34737323,27.83117869,29.4680514,31.30374356,33.24309066,32.45472147,17.57986517,-14.27756243,-41.74089429,-50.54495609,-46.59953941,-34.49513976,-18.33637737,-2.200064951,12.99214557,26.94778509,39.09882401,47.76870903,50.45291513,45.73420938,34.78014937,20.73131564,6.913437776,-4.323339547,-11.91394556,-16.27054215,-16.94306013,-11.3353826,3.808052759,29.00796327,60.51583721,92.01245926,114.5092319,125.8053266,127.758793,122.0815744,111.044923,96.57527908,80.09810275,62.72461982,45.26841504,28.11755661,11.31921359,-4.872404965,-19.95835304,-33.87687142,-46.47681838,-57.5689115,-66.91858254,-74.29075687,-79.52211453,-82.47034709,-83.16928722,-81.81227352,-78.48023046,-73.1154989,-65.81285365,-56.99026591,-47.23230639,-37.20902747,-27.55651527,-18.67822385,-10.73348496,-3.710129092,2.4781313,7.910610049,12.64897212,16.74508665,20.19894029,23.05495672,25.39577522,27.29531921,28.79455785,29.8939585,30.54499117,30.71745549,30.39437159,29.51548215,28.07762848,26.09606358,23.64035196,20.83071533,17.86804866,14.91046225,12.03948969,9.259261456,6.513400537,3.727651583,0.840385982,-2.162603651,-5.241440116,-8.315261841,-11.30056769,-14.12118954,-16.70344494,-18.98286882,-20.89380891,-22.36290701,-23.32376318,-23.73311824,-23.57375459,-22.84236108,-21.55491343,-19.75393321,-17.50747863,-14.90412718,-12.06281188,-9.142876551,-6.315491893,-3.735241717,-1.506609087,0.335504711,1.822289904,3.008085092,3.951750126,4.713334269,5.352777889,5.91582287,6.425054102,6.879878834,7.252372721,7.502899338,7.596950957,7.515662922,7.262809881,6.863628245,6.35469801,5.770660614,5.135740894,4.460489096,3.745746077,2.990104261,2.19599765
n014,-3.58,298,0.044879643,0.182282721,0.413806199,0.741874766,1.168765539,1.695337456,2.319337374,3.035829077,3.841256389,4.735084435,5.717177266,6.785847999,7.937548864,9.167395982,10.47118547,11.84457336,13.27968592,14.76480912,16.28626728,17.83178789,19.39295081,20.96442717,22.54362452,24.13289406,25.7412131,27.38286896,29.07339644,30.82898298,32.67564536,34.65767294,36.83427806,39.1626417,39.13796928,26.65187202,-0.719045208,-25.06805653,-32.7714096,-27.31837706,-13.90648729,1.566853793,16.61130171,30.39233083,42.47843028,51.57459236,54.86357345,49.51486401,35.35279349,15.53269858,-5.335898331,-23.44308846,-36.38802768,-44.11242075,-47.63544564,-47.28811441,-42.16756251,-30.77052674,-12.80055386,9.702552335,32.96416562,53.12051915,67.5491705,75.21265633,77.44510753,75.05886152,69.1524,60.84832134,51.19457499,41.07010044,30.99392253,21.12372163,11.48317446,2.101817701,-6.881640968,-15.27968026,-22.92668772,-29.6104086,-35.07673919,-38.99827105,-41.09152964,-41.17238808,-39.01094635,-34.53677013,-27.75421012,-18.80672318,-8.351093952,2.750944016,13.47014534,22.6756069,29.43452574,33.30025312,34.35483138,33.06292168,30.04742012,25.90106547,21.14159621,16.20483019,11.43227044,7.048814507,3.162418417,-0.202576353,-3.048150869,-5.357085841,-7.142281594,-8.499323216,-9.596515571,-10.621888,-11.68107745,-12.74660137,-13.69071311,-14.38009952,-14.70482496,-14.5982125,-14.07671218,-13.25953148,-12.31738231,-11.40994043,-10.65547211,-10.10513244,-9.73589561,-9.492539662,-9.336448944,-9.243497489,-9.191303408,-9.14372017,-9.045492941,-8.847998454,-8.499069638,-7.938616617,-7.138567719,-6.116085256,-4.917186225,-3.585674727,-2.155343474,-0.664210816,0.882647942,2.481318661,4.110058928,5.720634113,7.256485631,8.665791687,9.906923512,10.95471738,11.80612156,12.45107755,12.86815828,13.02728715,12.89902608,12.4638097,11.71595049,10.67111117,9.358626971,7.808743408,6.054473665,4.142568332,2.134434049,0.103194524,-1.877063194,-3.744553942,-5.463964242,-7.026452767
0157flu,-0.78,298,0.03073098,0.124228176,0.279920887,0.497277379,0.775763095,1.114291156,1.510888259,1.962949064,2.46779465,3.02283739,3.625527268,4.273435635,4.964330956,5.696190002,6.466877244,7.27390446,8.114146844,8.983492261,9.877086409,10.78978083,11.71690635,12.65496307,13.60169403,14.55650124,15.52152757,16.50258103,17.50827192,18.54952275,19.64454063,20.82563747,22.13827411,23.59700598,25.09845938,26.43374909,27.18596149,26.73381246,25.01875413,22.90109486,21.48093061,21.42580033,22.86284972,25.57563473,29.09315021,32.179778,32.07239632,25.48591432,11.35144963,-7.999744219,-28.42129113,-46.19428834,-58.48276364,-64.38949738,-64.44767983,-59.21479633,-49.22652211,-35.37058548,-18.86204017,0.338653075,20.85198551,40.50045508,57.22835828,69.54711835,76.1357031,78.19750045,77.05883472,73.62288237,68.45734605,61.82179221,53.90089717,44.9317445,35.23167575,25.20450559,15.23143616,5.617373715,-3.387097031,-11.53026432,-18.62820979,-24.46398341,-28.83432902,-31.60785159,-32.74298135,-32.30708032,-30.49972024,-27.64707422,-24.13032138,-20.31868145,-16.5354728,-13.0483388,-10.07506186,-7.769247169,-6.18939079,-5.325861024,-5.10078506,-5.387461295,-6.025608453,-6.842799517,-7.678796992,-8.414778777,-8.979274381,-9.329043619,-9.428935799,-9.231231361,-8.667955894,-7.664065937,-6.201216071,-4.341266709,-2.192376135,0.140922152,2.565567171,5.021795752,7.458851236,9.823551285,12.02210682,13.91035195,15.32383849,16.12889871,16.25839647,15.71544782,14.56510437,12.90043574,10.81096294,8.379288561,5.68604081,2.818357586,-0.12616317,-3.039877619,-5.817658028,-8.371448747,-10.62842972,-12.54551502,-14.10138052,-15.25679577,-15.95502788,-16.15200649,-15.84330078,-15.07427433,-13.93606043,-12.53701232,-10.97123977,-9.325647844,-7.676289931,-6.076689912,-4.55816937,-3.130571099,-1.784999542,-0.514964432,0.669049688,1.752264158,2.712809202,3.523956429,4.161652158,4.615602354,4.889727648,4.999697305,4.970278307,4.832178271,4.618746639,4.361525482,4.08483788,3.800586693
test2011,-9.2,298,0.049883236,0.202131642,0.456845427,0.814205505,1.274510504,1.837511462,2.502098826,3.266608473,4.132800739,5.104778322,6.177361315,7.343080152,8.595767331,9.930747176,11.34062339,12.81700109,14.35142259,15.93209217,17.54872392,19.19114247,20.85165179,22.52829843,24.21902308,25.92157431,27.6392215,29.38392833,31.1502893,27.03132691,-29.78512923,-66.98253061,-74.90920943,-75.7460291,-86.89739379,-96.12404527,-88.08441753,-75.06456332,-58.39099306,-38.3927695,-17.91589462,1.553474234,19.84231694,37.00617706,52.93641486,66.46060421,74.54871655,73.67359708,62.87228321,44.88469767,23.64206626,2.876452598,-13.31986629,-20.49302633,-10.05341147,28.01915542,95.28856342,175.5807354,236.5308428,274.601979,292.332039,292.1437674,276.7032577,248.8106242,211.6542692,168.734069,123.7093855,79.34141042,37.17962945,-2.106837698,-38.61975969,-72.29820875,-102.8853133,-130.1018424,-153.5387566,-172.3712048,-185.4713364,-192.2981926,-193.2603626,-189.1046838,-180.5504658,-168.1273662,-152.3878159,-134.0128349,-113.6639689,-92.1297962,-70.27176151,-48.86230242,-28.61923164,-10.11169357,6.269780923,20.34466989,32.19632819,42.05141268,50.1810698,56.79372576,62.03284415,66.03889491,68.90575551,70.7041505,71.51957206,71.32854582,69.98405235,67.41922446,63.61910976,58.89264728,53.63376674,48.14380778,42.76376521,37.71745595,33.06794448,28.69081135,24.60833014,20.64122571,16.42183811,11.60540868,5.942573861,-0.631042644,-7.961912194,-15.77981645,-23.78443922,-31.60028127,-38.9932081,-45.75690649,-51.71413663,-56.74923334,-60.75053831,-63.59339613,-65.17505133,-65.46956585,-64.50022318,-62.34953215,-59.14310164,-54.93661832,-49.77992501,-43.65466868,-36.50205263,-28.48450174,-19.89186227,-11.08103975,-2.399517415,5.864878602,13.39754452,19.96126834,25.39744444,29.63641749,32.77906343,34.99461844,36.3980678,37.02993045,36.94478099,36.41348463,35.6330364,34.44968165,32.80172946,30.69647261,28.17259487,25.29241897,22.16257473,18.9071779,15.63970068,12.35826808
n016,-9.72,298,0.034030509,0.13868486,0.315160123,0.563476811,0.882736284,1.270865479,1.722200505,2.22770159,2.779968141,3.374456459,4.007082588,4.674956915,5.381846044,6.142036972,6.96827385,7.854351116,8.779950589,9.727815217,10.68503522,11.6411036,12.58550737,13.51019383,14.41452551,15.30351437,16.18659894,17.09053797,18.08949492,19.34654559,21.13602034,23.84050878,27.36609519,24.33254445,-11.70208759,-102.8268123,-207.810175,-259.1917109,-248.2472409,-202.7109861,-145.8906074,-93.01271038,-48.95439281,-14.22369598,12.01385076,30.39710675,41.12391255,44.56193378,41.7218705,34.03299482,22.92069573,9.534535535,-5.386548901,-21.1348735,-33.5427749,-27.60078271,20.64762825,121.7066343,243.7661452,318.1884684,351.7705113,355.4048661,337.2316056,303.6327015,259.69354,209.436581,156.576645,103.8224274,53.54717178,7.567217312,-33.92407596,-71.57638891,-105.8585311,-136.6029513,-162.5917799,-183.7973113,-199.219393,-206.9320896,-205.2432971,-195.0521637,-178.8956632,-158.8330301,-136.4280486,-112.8492517,-88.97539622,-65.44920495,-42.83944054,-21.6136571,-2.259027798,14.66504357,28.75624642,39.77577251,47.70490122,52.78010715,55.42832857,56.12915562,55.33942872,53.47179431,50.89784355,47.95872543,44.87851551,41.65494374,38.13561454,34.10108155,29.45953803,24.37610428,19.18986939,14.32684838,10.19932393,7.07779236,4.982273644,3.807569643,3.486358741,3.827613481,4.29459139,4.278179652,3.276912865,0.807150953,-3.309512237,-8.638614785,-14.32531986,-19.58033415,-23.98190469,-27.42361584,-29.9383853,-31.55311155,-32.21624464,-31.80226126,-30.29105501,-27.81416586,-24.52863729,-20.58068972,-16.19466696,-11.748818,-7.705867698,-4.353794114,-1.575656361,0.779694866,2.88380679,4.97847596,7.303172653,9.867064766,12.43364851,14.80543672,16.83295772,18.40653431,19.44997794,19.92246374,19.8209526,19.17099857,18.01825988,16.4203833,14.45069702,12.18558438,9.693815005,7.036392109,4.275951834,1.481487324,-1.277407129,-3.930170127,-6.405063654,-8.632790081
n201,-15.46,298,0.035622223,0.144008914,0.324066421,0.573909387,0.891232689,1.273735599,1.719404855,2.227254505,2.79956137,3.440992191,4.153184886,4.936247021,5.794113952,6.729158778,7.730570126,8.783144988,9.871977887,10.98701193,12.12537181,13.28660394,14.46870805,15.66877233,16.88362458,18.11003307,19.34563096,20.59098488,21.85208025,23.14507644,24.50300064,25.89863121,23.20575224,-13.04141041,-110.4172046,-208.5393636,-248.1933158,-247.8439985,-223.836731,-187.0207836,-148.3110764,-114.9648028,-87.078064,-63.61432585,-43.89867814,-28.22780066,-17.05066912,-9.579101361,-3.935624455,1.689879988,8.076571793,15.07613693,25.70803325,50.26036487,106.3094956,207.9160107,350.0810749,489.162331,588.8281766,639.9986457,638.1885369,594.670511,520.970295,427.7061854,323.3003164,214.7495566,109.4270449,10.87121223,-78.8416252,-159.0123536,-229.428592,-289.8399501,-340.0903873,-380.1316274,-409.5897651,-427.2551753,-432.0222684,-424.3893789,-405.8735591,-377.7639668,-341.0620929,-297.2662175,-248.6128457,-197.3561141,-145.7049563,-94.93141739,-45.47537001,1.874408951,45.44014983,84.02555904,117.2504696,145.0942699,167.6693178,185.1123879,198.007396,206.9481775,212.3086626,214.3205656,212.9042965,207.762357,198.7188455,185.7306402,168.735068,147.9629841,123.9302671,97.41668071,69.5959214,41.69494044,14.95215615,-9.66678708,-31.26669794,-49.4934615,-64.54122865,-76.69650388,-86.10810563,-92.88767798,-97.56370722,-100.8962643,-103.3573701,-105.2079404,-106.5403593,-107.3383427,-107.4796624,-106.7548795,-104.8744013,-101.251345,-95.24514096,-86.71555655,-75.78694124,-62.785286,-48.14337507,-32.18515895,-15.23258016,2.273368666,19.6991714,36.34472773,51.66082094,65.18049352,76.56199394,85.63529513,92.28882164,96.44015785,98.08484613,97.39080011,94.55513061,89.62596188,82.64435579,73.70914706,63.00097521,50.91611267,37.86592789,24.23801179,10.44454876,-3.036033104,-15.69551164,-27.06243864,-36.80333863,-44.75752429,-51.00085373,-55.73179279,-59.13725012,-61.34229257
0437pho,-6.92,298,0.071637732,0.291306195,0.661252993,1.183355937,1.858718275,2.686832271,3.66415033,4.784601934,6.048848703,7.454642478,8.992511484,10.65312023,12.42739281,14.30530051,16.27299785,18.31471609,20.42107492,22.58219326,24.78779088,27.02797342,29.29355052,31.57696631,33.8751827,36.19563482,38.55043726,40.9535897,43.14979413,7.66471841,-79.30673621,-109.6649007,-105.6192386,-88.87635094,-78.19280576,-70.22839366,-53.54792518,-36.30989302,-17.79175069,-2.214060234,8.883408062,18.07809568,27.82858808,38.62341675,49.08797177,56.25959108,55.76793574,44.26097638,22.30215551,-5.90519776,-36.50051982,-64.28189891,-84.47748149,-91.00507863,-71.4082477,-13.41725163,80.02665561,171.8518042,247.2060473,308.5997724,360.7044674,406.5207636,441.1739174,450.367212,435.3566537,400.6390139,351.124169,291.4427245,225.738159,157.83031,90.56618563,25.0516104,-37.76702557,-95.15646422,-145.6165143,-188.9310637,-223.9232836,-250.5077756,-269.9425147,-283.3455102,-291.572039,-295.0383187,-293.3631033,-286.4562292,-275.1306366,-260.2939099,-242.24199,-220.99197,-196.6222819,-169.8737173,-141.8720492,-113.5283132,-85.57911484,-58.43114293,-32.17367024,-7.02123758,16.73054794,38.91774611,59.46957652,78.53136419,96.1633973,112.0732159,125.8400261,137.1544009,145.7334296,151.1367422,152.6809036,150.7661647,146.197148,139.8511541,132.3673167,124.2909535,115.9832015,107.4981689,98.51946145,88.66564828,77.76839147,65.80172824,52.83341535,38.84928998,23.86758812,7.923327371,-8.715453991,-25.53652028,-41.98410386,-57.55122079,-71.76168494,-84.23004303,-94.77385797,-103.2388976,-109.4580243,-113.4354185,-115.2140863,-114.7800133,-112.0201303,-106.8956784,-99.55867307,-90.25909163,-79.30131633,-67.0682709,-53.9635057,-40.38582172,-26.75423402,-13.45908711,-0.83881829,10.8288066,21.31064462,30.44510022,38.11521623,44.22939383,48.72466331,51.71445693,53.3428705,53.78102971,53.17560166,51.65459153,49.33839926,46.37627994,42.96427464,39.21891075,35.20027822,30.93481609
test1014,-9,298,0.075123993,0.304582273,0.688636312,1.226678346,1.91652862,2.754185884,3.733858543,4.848552478,6.091459708,7.455947008,8.932624191,10.51119808,12.18434703,13.94549168,15.785725,17.69574294,19.66695217,21.69185912,23.76203256,25.8670717,27.99779524,30.1492057,32.3195905,34.51219208,36.73655854,39.00541038,41.33141528,43.72968677,46.22706447,48.81919242,49.19095237,32.11999045,-14.22465842,-61.48008869,-79.38596036,-76.74169589,-62.5802778,-42.55292681,-23.1639492,-6.595944849,7.296849251,19.17756663,29.69123046,38.69839503,44.05092816,42.05232351,30.82100622,12.76983908,-6.811283163,-22.15392589,-29.5795474,-26.00331577,-4.711552984,39.93388374,104.1519379,172.3579754,220.2276737,252.2128246,273.4954643,285.3744409,285.3696365,271.7446729,248.1124671,217.9367136,183.6179626,147.0400569,109.4063362,71.34740491,34.49009644,-0.760634297,-34.21497021,-65.53069244,-94.05673446,-118.8787112,-139.3334448,-155.0380355,-166.086018,-172.5531713,-174.2409169,-171.1167183,-163.9116886,-153.6387723,-141.1065344,-127.1267548,-112.3497811,-97.22772048,-82.04901474,-66.97773344,-52.15600721,-37.76563444,-24.0733776,-11.37316439,0.165279834,10.59161451,20.10519023,28.96018931,37.27458225,45.03234575,52.16454471,58.50051053,63.73629993,67.41211339,69.10006905,68.75997711,66.64789652,63.15677295,58.54982605,52.92711462,46.34488269,38.98613391,31.17967814,23.18895173,15.09637566,7.113487658,-0.54510481,-7.808418358,-14.67128949,-21.20401755,-27.47884697,-33.44978935,-38.97737212,-43.8667207,-47.98058813,-51.15308897,-53.34040854,-54.79453581,-55.82304495,-56.47832379,-56.56018807,-55.86282887,-54.17174315,-51.28689528,-47.16291238,-41.89400518,-35.6219817,-28.52017001,-20.84500682,-12.88439461,-4.867511983,3.016880859,10.5690379,17.55485876,23.81037821,29.28973936,34.02682102,38.08739268,41.44689901,43.99316998,45.64989277,46.36832352,46.13145909,44.94373085,42.82768021,39.82123735,35.99169942,31.40943351,26.13444821,20.25263018,13.92764163,7.446290607
n018,-5.28,298,0.018744933,0.075886061,0.17121468,0.304281148,0.474513234,0.681248387,0.923093275,1.197457241,1.503576389,1.846440896,2.224894116,2.632589175,3.063849518,3.514583272,3.981938871,4.463873751,4.959633585,5.46794041,5.986839337,6.514373633,7.049180612,7.590576467,8.138352069,8.693444807,9.258854733,9.840227523,10.43528038,7.518801402,-39.05680495,-78.74564879,-89.43156676,-82.55122731,-67.39606708,-50.85099999,-34.8214426,-23.9938857,-16.8693743,-9.886568051,-2.31356215,5.508586268,13.04760155,19.86833826,25.57747134,29.56448449,31.08022629,29.90824385,26.56914447,21.9686585,16.42326419,9.645242317,2.57479407,-3.178465123,-4.121858106,5.028054785,27.70701987,60.79443596,87.77687463,104.2225557,110.1986724,107.9037674,99.62220059,87.38540298,73.28447614,58.34413857,43.30361475,28.49448074,13.90422785,-0.117714895,-13.16219773,-25.02214709,-35.60724599,-44.90901933,-52.80719888,-58.91388671,-62.66892484,-63.73684231,-62.33589414,-59.01364366,-54.28664048,-48.59197497,-42.26911173,-35.60287713,-28.88574789,-22.37106485,-16.2374464,-10.55789713,-5.498962063,-1.199761614,2.269140053,4.932973833,6.89269126,8.314406485,9.380366404,10.24868757,11.06244156,11.8254852,12.46337663,12.90626231,13.1196847,13.11838204,12.95829329,12.7297328,12.52103269,12.34106602,12.17258543,11.98299978,11.74672789,11.42506866,10.97074379,10.31639512,9.393926052,8.174212282,6.665152448,4.888686634,2.883155897,0.702924112,-1.581175738,-3.870796524,-6.075270162,-8.118369895,-9.942242855,-11.51376672,-12.81642463,-13.83668967,-14.55841164,-14.96957941,-15.06251434,-14.8361736,-14.29788136,-13.46111825,-12.35092194,-11.00398026,-9.462195439,-7.772508327,-5.985118049,-4.151092628,-2.323121045,-0.549784882,1.128757939,2.676610382,4.062967107,5.265324575,6.26712209,7.058034891,7.634546341,7.99979415,8.162167454,8.13433402,7.933259309,7.579108312,7.09273871,6.496184801,5.811508195,5.060147577,4.263026414,3.440287362,2.610805175,1.791791741,0.998070557,0.241964325
0084met,-4.58,298,0.038524013,0.156025871,0.352539016,0.628378716,0.984025257,1.419485973,1.933731767,2.525384963,3.193962941,3.938664939,4.757019255,5.64688392,6.607352544,7.635883092,8.724803932,9.866389433,11.05412059,12.28188788,13.54370889,14.83263769,16.14129607,17.46287715,18.79149421,20.12448345,21.46551093,22.82433496,24.21490525,25.65584475,27.17824238,28.79845623,29.02721298,18.29949528,-9.875329462,-34.19452695,-41.64959447,-39.67736546,-33.19706698,-24.3394305,-14.51130218,-5.406592403,3.351055899,12.09630453,20.85761063,28.65830985,32.52395451,28.55048656,15.27212388,-4.612316647,-26.05159653,-44.48572065,-56.54807005,-60.25653204,-52.52035823,-30.33200698,5.311694991,46.69504093,80.37791582,107.8926328,130.8138456,149.0411945,161.7028387,167.6737099,165.6909099,157.2391891,144.2482747,128.268723,110.1922092,90.33498766,68.8555205,46.2084671,23.34655902,0.765953831,-20.91692498,-41.02349831,-58.92782163,-74.15589879,-86.53711326,-95.90183747,-101.9781472,-104.5654444,-103.7985429,-100.2290092,-94.49122756,-87.17612707,-78.88716152,-70.21226222,-61.62230955,-53.41808479,-45.72798581,-38.50012502,-31.57653102,-24.81187842,-18.15808997,-11.68222139,-5.572409836,0.066337689,5.21136437,9.850226361,14.01505698,17.80345259,21.34474033,24.78068706,28.18128139,31.58177167,34.95290217,38.12033,40.86672026,43.03598816,44.52213589,45.26769215,45.26720434,44.49709737,42.90088991,40.41689494,36.9920689,32.63585523,27.4462237,21.55570898,15.12085955,8.330547347,1.372138619,-5.555975198,-12.28786964,-18.68973031,-24.63451012,-30.00498971,-34.68792426,-38.59244222,-41.69195387,-44.0273751,-45.6284923,-46.45513387,-46.41284054,-45.42342265,-43.46697615,-40.59952392,-36.95003448,-32.67861531,-27.93935707,-22.83984399,-17.45625086,-11.88372984,-6.251850373,-0.715999825,4.574766068,9.504299454,13.97309507,17.89881987,21.23113769,23.94525593,26.02518276,27.47332219,28.30786343,28.54407397,28.22082413,27.40317133,26.15649653,24.5365,22.58850224,20.35418763
n203,-18.17,298,0.028253273,0.114467152,0.258678713,0.46085352,0.7209095,1.038386422,1.411827328,1.839771646,2.323617389,2.866132738,3.466210192,4.121963649,4.835748456,5.608996767,6.431282733,7.28748898,8.1632704,9.049778325,9.946079659,10.85328685,11.77039501,12.6958865,13.62926144,14.57136436,15.52443644,16.49202715,17.48143075,18.50903697,19.60835473,20.73434944,17.10921173,-22.93087513,-125.2403359,-220.6546657,-255.5076548,-249.7133332,-220.4617645,-178.9206636,-135.1829478,-97.84455061,-66.67317352,-40.30264623,-17.71062499,1.167580622,15.90515105,26.7626496,34.95044251,41.79611424,48.16231459,53.78091835,59.35270165,71.15642447,103.9467536,173.2743996,279.7222684,385.5585401,462.2955158,501.7137775,497.2282617,458.3068942,395.23978,316.9042812,230.2285111,141.2854709,56.55621085,-20.8919044,-89.82385271,-150.2271235,-202.2399164,-246.1146339,-282.0126371,-309.7702838,-329.253722,-339.3889163,-339.0026857,-328.3874788,-308.784476,-281.0287776,-245.9601822,-205.5146621,-162.3673471,-119.0440932,-77.34599054,-37.83770418,-0.440563632,34.58959666,65.96951937,92.9411444,115.2389712,132.9010158,146.2126458,155.6408409,161.7024883,164.8589985,165.4984088,163.9560241,160.3241388,154.4348931,146.0974749,135.0468145,121.0131312,104.1787373,85.02896034,64.15966365,42.40355838,20.68194144,-0.072238237,-19.13188197,-35.99891852,-50.33885633,-62.38763147,-72.53561623,-80.94445001,-87.61897375,-92.71888345,-96.61322677,-99.51889125,-101.4587918,-102.290648,-101.8297313,-100.036594,-96.94356129,-92.59082743,-86.87572422,-79.64105,-70.81819375,-60.32401102,-48.3481379,-35.30621076,-21.58680984,-7.5425662,6.469793191,19.99533491,32.54828278,43.81736558,53.59692502,61.78762309,68.41213217,73.55202083,77.29204597,79.69582149,80.77972815,80.47149101,78.59113353,74.94097148,69.4910898,62.40284419,54.01709727,44.66970348,34.65786121,24.24803005,13.68376267,3.210886433,-6.907086325,-16.39127135,-24.98418495,-32.51705043,-38.93960915,-44.19982276,-48.22726717
0078pen,-3.53,298,0.046315896,0.187132811,0.42106583,0.746305686,1.161023321,1.663061106,2.249284446,2.91602539,3.659884182,4.477091462,5.362889356,6.31340874,7.326416501,8.398531286,9.522111378,10.68978819,11.89670472,13.13700634,14.40391656,15.69074585,16.9891606,18.28930305,19.58395254,20.87108582,22.15416251,23.44254972,24.75176217,26.10778229,27.55892411,29.13835766,29.44285055,19.3077543,-7.935060198,-32.54480868,-40.40498136,-37.85253994,-29.49579064,-18.22013273,-6.312434635,3.791547836,12.16701158,19.25650604,25.44597771,30.73928175,34.08209995,33.23943287,26.42583483,14.1720414,-0.821365664,-15.34248775,-26.65690596,-31.44957256,-25.44312236,-5.470635213,26.47337786,60.29650453,82.98544653,97.2714773,106.193438,111.5089169,113.9107451,113.5364482,109.5492813,102.0035517,91.93500931,80.25905872,67.49134775,53.64068107,38.8176908,23.53635458,7.799764569,-8.16536258,-23.81058017,-38.49917269,-51.5951416,-62.68298109,-71.70792118,-78.65860583,-83.41973134,-85.84438469,-85.99930945,-84.2103786,-80.84301844,-76.26256534,-70.81985419,-64.85081652,-58.63744153,-52.31052167,-45.79175055,-38.88415159,-31.4617332,-23.54485869,-15.31122499,-7.070144012,0.838642903,8.200175986,14.94114924,20.99266253,26.37075598,31.06944709,34.98956113,38.06266471,40.21728812,41.47403609,41.96624462,41.82971872,41.15039583,39.93617203,38.13781799,35.70103125,32.63110743,29.00813084,24.96093724,20.63952219,16.18788001,11.72329365,7.330469668,3.04705338,-1.130152217,-5.192862629,-9.118386229,-12.83814502,-16.24967717,-19.3053828,-21.97478725,-24.23784631,-26.07546812,-27.49701303,-28.50753406,-29.09488636,-29.24151873,-28.92891267,-28.14527048,-26.88637229,-25.16392478,-23.00459127,-20.44400449,-17.5291914,-14.32025956,-10.88896287,-7.317649867,-3.702374166,-0.136649071,3.280229457,6.432021296,9.225827531,11.59453373,13.5097899,14.97572364,16.02840664,16.70771617,17.03198872,17.0081111,16.6466281,15.96599627,15.00266531,13.8053572,12.42566421,10.9076657,9.286636663
